FID,name,latitude,longitude
141,C-GAN ENTERPRISES,10.6966000,122.5699997
142,Iloilo Supermart - Atrium,10.7013998,122.5680008
143,SM Supermart,14.6183996,121.0559998
144,CVC,14.6532001,120.9840012
145,Robinson’s Supermarket,14.8204002,120.9049988
146,South Supermarket,14.8256998,120.8960037
147,Anson's,14.6190996,121.1019974
148,Best Stop Mart,14.6594000,120.9710007
149,Parco Supermarket,14.6504002,121.1060028
150,PureGold Jr,14.1173000,120.9619980
151,Aguila,14.1435003,120.9560013
152,Puregold Jr,14.5797997,120.9810028
153,Robinsons Easymart,14.7059002,121.0690002
154,Irohin Market,14.1283998,120.9800034
155,Buenas Supermart,7.4475999,125.8079987
156,New Parkway Mini Mart,13.5021000,120.9530029
157,Hypermart,9.3015699,123.2979965
158,Come N Shop,14.6566000,121.0199966
159,Crossings Supermarket,14.6392002,121.0309982
160,Bayanihan Grocery Shop,10.6032000,122.9209976
161,Fred Valencia Mini Mart,15.0854998,120.6480026
162,Gaisano Capital Passi,11.1056004,122.6449966
163,Del Rosario Grocery,14.9750996,120.5270004
164,SM Cherry,14.6253996,121.1340027
165,Market of Antipolo,14.6190004,121.1699982
166,Penafrancia Market,14.6252003,121.1389999
167,Atlag Market,14.8283005,120.8219986
168,Super 8,14.5663004,121.0459976
169,Mart One,14.5658998,121.0459976
170,Areca's,6.9506302,126.2220001
171,Shopwise Express,14.9673996,120.6320038
172,Ever Supermarket,14.6332998,121.0199966
173,Buenas Supermarket,7.4475298,125.8079987
174,Samulco,7.0505099,125.5410004
175,NCCC Panacan,7.1439400,125.6610031
176,Felcris,7.1873598,125.4589996
177,RCS Supermarket,15.4891996,120.5910034
178,Samulco,7.0580702,125.5680008
179,Samulco,7.0753002,125.6179962
180,Save More Lanang,7.0967898,125.6179962
181,Elizabeth Super Market,14.6761999,120.5240021
182,Puregold,14.4256001,121.0270004
183,Robinsons Supermarket,10.6940002,122.5660019
184,SM Delgado Supermart,10.6983995,122.5670013
185,Parco Selections Supermarket,14.4595003,120.9940033
186,New Hope Trading,7.1914802,125.4550018
187,Marketplace,14.5469999,121.0350037
188,Robinsons Supermarket,10.3095999,123.8939972
189,Gaisano Mall of Davao,7.0777302,125.6139984
190,Puregold,14.8914003,120.7050018
191,Maribel Supermarket,14.8900995,120.7030029
192,Ignacio Supermarket,14.9041004,120.7149963
193,Jollibee,14.9080000,120.7160034
194,RO Supermarket,14.2732000,121.4550018
195,Puregold,15.1386995,120.5879974
196,South Emerald Supermarket,14.2854996,121.4130020
197,Novo,14.2832003,121.4140015
198,AllDay Supermarket,14.4492998,120.9779968
199,Ororama,8.4771900,124.6490021
200,Happy Valley Supermarket,14.8414001,120.2860031
201,Choa's Supermarket,14.8401003,120.2870026
202,Vercon Supermarket,14.8410997,120.2870026
203,Jenra Mall Palengke,15.1403999,120.5879974
204,SM Savemore Supermarket,14.6316996,121.0820007
205,Town Market,8.9869003,125.3410034
206,SM Hypermarket,14.4484997,120.9810028
207,Super8,14.4491997,120.9899979
208,SM Supermarket,14.4329004,121.0110016
209,NVM Mall,7.9048700,125.0920029
210,Gaisano Valencia,7.9036698,125.0899963
211,Novo,7.9023800,125.0910034
212,Super 8 Supermarket,14.5511999,121.0749969
213,Jan's Super Saver,14.5444002,121.0690002
214,Villahermosa Groceri,9.1229496,125.5339966
215,Plaridel Commercial Complex,8.6057396,123.7229996
216,Walter Mart Supermarket,14.4238005,120.9400024
217,NE Supermarket,15.4878998,120.9639969
218,Square mart,14.2931004,121.0059967
219,Novo,14.2841997,120.9970016
220,SME,14.2835999,120.9980011
221,SM Savemore Market,15.1392002,120.5869980
222,Savemore,14.5501003,120.9960022
223,Robinsons Supermarket,14.2946997,121.1029968
224,Emmaflor,14.5433998,121.0110016
225,Robinson's Supermarket,7.0913901,125.6110001
226,SM Supermarket,14.6260004,121.1200027
227,Savemore,14.7215996,121.0370026
228,Gaisano Capital Sogod,10.3851004,124.9850006
229,Sugni Superstore,7.1063800,124.8300018
230,Robinsons Supermarket,9.2985897,123.3040009
231,Red Camia,15.6875000,120.4160004
232,Lachmi Mall,7.0655799,125.6080017
233,Abad Supermarket,14.4208002,120.9400024
234,Factory Depot Tile center,12.9779997,123.9860001
235,SM Supermarket,14.4447002,120.9499969
236,Nesabel Supermarket,14.5452995,121.0650024
237,SM Supermarket,14.5857000,121.0569992
238,SM Hypermarket,14.6561003,121.0319977
239,Robinsons Supermarket,14.5911999,121.0589981
240,SM Savemore / Nisway Autoparts,14.6105003,121.0920029
241,SM Savemore,14.6444998,121.0739975
242,Robinsons Supermarket,14.4132996,120.9420013
243,Robinsons Cybergate Davao,7.0997801,125.6240005
244,Robinsons Supermarket,14.8570004,120.8130035
245,Robinsons Supermarket,14.6632004,121.0680008
246,Robinsons Supermarket,14.6583004,120.9609985
247,Robinsons Supermart,16.0513000,120.3420029
248,Robinsons Supermarket,14.7306004,121.1389999
249,SM Hypermarket,14.4827003,120.9940033
250,Ever Supermarket,14.6751003,120.9840012
251,Savemore,14.6064997,121.0189972
252,Robinsons Supermart,7.8230600,123.4380035
253,Walter Mart Supermarket,14.8809996,120.8659973
254,Robinsons Supermarket,15.4602003,120.9499969
255,SM Supermarket,13.6209002,123.1900024
256,Mall of the Valley,17.6145000,121.7279968
