FID,amenity,name,latitude,longitude
115,restaurant,Seafood Island,14.5363998,120.9789963
116,restaurant,Moon Garden,14.1264000,120.9680023
117,restaurant,Razon's,15.0305996,120.6750031
118,restaurant,Mien San Noodle House,14.6083002,121.0390015
119,restaurant,Happy Valley Noodle House,14.6082001,121.0390015
120,restaurant,Airport Juan,14.5236998,121.0000000
121,restaurant,Lomi House,15.1814003,120.5429993
122,restaurant,Hacienda Inn,13.9331999,121.6129990
123,restaurant,Pizza Hut,14.5740004,121.0479965
124,restaurant,Sambokojin,14.5980997,121.0589981
125,restaurant,Nawawalang Paraiso,14.0479002,121.5709991
126,restaurant,Hot Shot Grill,14.6384001,121.0370026
127,restaurant,G See,14.0679998,121.3249969
128,restaurant,Punta Isla Lake Resort,6.2174301,124.7050018
129,restaurant,Cyma Restuarant,10.3184996,123.9059982
130,restaurant,Laguna Cafe,10.3182001,123.9059982
131,restaurant,Kaishu Japanese Restuarant,10.3127003,124.0240021
132,restaurant,AA's BBQ Restaurant,10.3044004,123.9599991
133,restaurant,Bulalo Republic Restaurant,14.9334002,120.8789978
134,restaurant,Nakama Restuarant,14.9440002,120.8820038
135,restaurant,"Triple V (Dad's, Kamayan, Saisaki)",14.5980997,121.0589981
136,restaurant,Shakey's,14.5783997,121.0350037
137,restaurant,Shakey's,14.3476000,121.0650024
138,restaurant,Salt & Pepper,14.5979004,121.0589981
139,restaurant,The Red Crab,14.6300001,121.0339966
140,restaurant,Viking,10.3362999,123.9319992
141,restaurant,Lighthouse Restuarant,10.3108997,123.9029999
142,restaurant,The New White Gold House Rest,10.3064003,123.9100037
143,restaurant,Sagingrepablik,7.0766702,125.6080017
144,restaurant,Bamboo,7.0731201,125.6050034
145,restaurant,Colasa's Barbecue,7.0627999,125.6100006
146,restaurant,Whaw Ihaw - Ihaw,7.0702600,125.6080017
147,restaurant,Pard's Seafood Grill,7.0710402,125.6080017
148,restaurant,Coco's South Bistro,7.0602899,125.5879974
149,restaurant,Buffet Palace,7.0882702,125.6110001
150,restaurant,Probincya,7.0876002,125.6129990
151,restaurant,Ahfat 2 Seafood Plaza,7.0887299,125.6129990
152,restaurant,Kusina Agdao,7.0837402,125.6250000
153,restaurant,Penong's Barbecue,7.0764799,125.6139984
154,restaurant,Flyover Ihaw-ihaw,7.1023502,125.6149979
155,restaurant,Clydenjosh,14.0745001,121.3259964
156,restaurant,Tolgorie Restaurant,10.3379002,123.9300003
157,restaurant,Boosog Restaurant,10.3123999,123.8949966
158,restaurant,Andok's,14.5641003,121.0449982
159,restaurant,Bali Seafoods Paluto,14.1019001,120.9499969
160,restaurant,Buon Giorno,14.1015997,120.9499969
161,restaurant,Domicillo,14.1018000,120.9499969
162,restaurant,Fire Lake Grill,14.1016998,120.9499969
163,restaurant,Leslie's Terrace Garden,14.1021004,120.9520035
164,restaurant,Cafe Platito Atbp.,14.1016998,120.9499969
165,restaurant,Manukan Grille,14.0992002,120.9290009
166,restaurant,Giligans,14.0972004,120.9420013
167,restaurant,Merben Canteen Tapsilog,14.0994997,120.9240036
168,restaurant,Pamana,14.1125002,120.9599991
169,restaurant,Treffpunk,14.1484003,120.9940033
170,restaurant,Mile Hi Diner,14.1027002,120.9520035
171,restaurant,Meat Plus Cafe,14.8179998,120.2839966
172,restaurant,Apag Marangle Restaurant,15.0008001,120.6429977
173,restaurant,El Dorado,14.6625996,121.2009964
174,restaurant,Lola Diding's,14.6580000,121.0459976
175,restaurant,BFB,8.4817600,124.6490021
176,restaurant,North Park Nex,14.5847998,121.0660019
177,restaurant,Jna  Fishpen,9.1340103,124.7919998
178,restaurant,Pizzetta Greek,14.6443996,121.0609970
179,restaurant,007,14.6028004,121.0500031
180,restaurant,Nathaniels,15.0416002,120.6849976
181,restaurant,Car Wash Sevices,15.1619997,120.5960007
182,restaurant,Grill 99,15.1417999,120.5780029
183,restaurant,C3 Events,14.6035995,121.0520020
184,restaurant,Tokyo Tokyo,14.5606003,121.0149994
185,restaurant,Swagat,14.5551996,121.0179977
186,restaurant,Ming's Garden,14.1459999,120.9919968
187,restaurant,Conti's,14.4449997,121.0289993
188,restaurant,Mang Rudy's,14.5621996,121.0130005
189,restaurant,Aviles Bulalo Resto,14.1978998,121.1470032
